vae,vas,pve,pvs,gee,ges,rqe,rqs,rle,rls,cce
0.5912628,0.13387889,0.06227952,0.24605513,0.1061492,0.20966189,0.39690667,0.19092403,-0.09726851,0.1533685,-0.32710382
1.4779474,0.14903152,1.2433665,0.2392498,1.6571606,0.21908851,1.7159872,0.22479999,1.8268166,0.16150005,2.317684
-0.062693395,0.20166938,-0.16624385,0.32008725,-0.19143988,0.2888104,-0.38403827,0.20809783,-0.31918618,0.20214432,-0.539184
0.9553701,0.20564908,1.0189325,0.24802686,0.3375475,0.36471355,0.26864204,0.25652316,0.45409733,0.26150176,0.69461554
1.4155948,0.1517198,1.0349566,0.24576741,1.8917143,0.1969793,1.5586569,0.20937869,1.8010833,0.15717928,1.9527946
-1.1140891,0.19581969,-1.4303285,0.4200652,-1.5864754,0.3720803,-1.7209384,0.34909815,-1.2734762,0.32414022,-0.8194555
1.1452793,0.5161649,0.69949186,0.2712525,0.26803374,0.4574296,0.0819928,0.485649,1.355714,0.48281574,1.2345334
-0.1690353,0.127567,1.61567,0.21172263,2.2137623,0.21289882,2.1130104,0.19655472,1.8162841,0.1602215,2.1294842
-1.2222136,0.1279148,-2.1382718,0.24747567,-1.7546036,0.19345812,-1.3639076,0.17751007,-1.7477614,0.15651111,-1.2161655
-0.29908288,0.2144461,0.45511338,0.3456684,-0.08346412,0.22248708,-0.06143297,0.3327563,0.6083537,0.2214034,0.5625034
0.11215499,0.13182038,-0.63393193,0.26359117,-0.17812294,0.22404404,-0.5861628,0.20275202,-0.58065164,0.161562,-0.55631465
0.503726,0.3388224,0.7369265,0.42519823,-0.12727551,0.41016325,0.49760616,0.31995824,0.83959645,0.34772584,0.79144496
-0.090371124,0.17906827,-0.7559049,0.31940094,-0.43638626,0.21948832,-0.6046435,0.17214034,-0.6959626,0.18498662,-0.21285379
-0.6103779,0.13882211,0.101598054,0.22028312,-0.091574654,0.22700182,0.023656536,0.22266002,0.20569998,0.17196229,-0.29383644
0.49871045,0.263636,0.440158,0.2511619,-0.26508275,0.35759354,0.79455495,0.3749268,0.6271985,0.19192871,0.012312412
0.06278631,0.20459647,-0.42306226,0.3456684,0.38436958,0.20545983,0.15020935,0.2718975,-0.53213227,0.19236645,-0.38992304
-0.35613865,0.11187301,-0.6338202,0.22198433,-0.78848404,0.21064295,-0.26300094,0.20055795,-1.0839196,0.14688991,-0.67876256
-1.9572502,0.19734009,0.05321554,0.34964156,-1.4086729,0.30462041,-1.7442667,0.210129,-1.3189646,0.22087218,-1.0151318
-0.65150356,0.15109444,-1.2677014,0.2701239,-0.52384764,0.18332644,-0.124243185,0.15902583,-0.9639545,0.15409993,-0.8471208
-1.6816999,0.1430764,0.72624576,0.25367594,-0.6177191,0.25316826,-0.8875271,0.21999153,-0.64192706,0.17409164,-1.0396534
-0.7354342,0.12510914,-2.1341105,0.24132012,-1.1658633,0.19453998,-0.65897566,0.17804939,-0.93359756,0.14645101,-0.78360534
-0.0782669,0.18166938,-0.86411816,0.32185015,-0.56515163,0.2528896,-0.4374202,0.21108699,-0.74977,0.18926542,-0.4595681
0.31448913,0.12991293,0.26126012,0.25432348,-0.6141826,0.18908086,-0.40175,0.15464939,-0.6736859,0.13687144,-0.66538215
0.061886646,0.3427723,0.62958956,0.5567685,-0.5472829,0.41016325,-0.5155392,0.31995824,-0.17444839,0.72485083,0.08921932
0.6943455,0.20221563,-1.0419912,0.31338027,1.0553342,0.2030091,1.0805833,0.23431627,1.0010018,0.1623705,1.0151013
0.024422409,0.13413954,-0.07977121,0.22028312,-0.5850931,0.21425478,-0.077282384,0.21391529,-0.586157,0.16231275,-0.85095245
1.2762988,0.26624933,1.9400065,0.3894168,1.0008177,0.4541232,1.3253787,0.4895278,1.7331436,0.25856623,1.2213858
-0.891591,0.14802456,0.047412302,0.2863625,-0.6148181,0.20134269,-0.48515064,0.17186792,-0.33050767,0.16103148,-0.7127382
0.99375004,0.14003593,0.24312174,0.1922474,1.1737474,0.21110147,0.74645406,0.22809975,0.9665224,0.16193755,0.68956167
-1.781911,0.11946329,-0.33987612,0.24429454,-0.68991464,0.22274177,-1.3331574,0.20627917,-0.8346662,0.16346751,-1.0099275
-2.2400763,0.13685535,-0.012876378,0.26292467,-1.9084531,0.24179326,-2.52669,0.2235472,-1.3540299,0.17492776,-1.2870286
0.49839112,0.12039668,1.1110551,0.23854543,0.4000451,0.22394297,0.509274,0.1998098,0.45976877,0.1653496,0.7025424
-2.2375348,0.13969329,-0.08779886,0.2202124,-0.54861975,0.2772957,-2.0739188,0.21777324,-1.404028,0.15937847,-1.204197
0.07815661,0.20880984,-0.7750069,0.3739123,-0.34019643,0.17390372,-0.42595255,0.3117465,-0.61693764,0.2124291,-0.43346724
-0.17662054,0.1669905,0.5531646,0.23805772,-0.40160483,0.3717828,-0.256008,0.34046236,-0.51401746,0.26679268,0.38520658
